THINID,COLOR
h-border-2-7-3-7,"rgb(218, 218, 218)"
h-border-2-8-3-8,"rgb(218, 218, 218)"
h-border-2-9-3-9,"rgb(218, 218, 218)"
h-border-2-10-3-10,"rgb(218, 218, 218)"
h-border-2-11-3-11,"rgb(218, 218, 218)"
h-border-2-12-3-12,"rgb(218, 218, 218)"
h-border-2-13-3-13,"rgb(218, 218, 218)"
h-border-2-14-3-14,"rgb(218, 218, 218)"
h-border-2-15-3-15,"rgb(218, 218, 218)"
h-border-2-16-3-16,"rgb(218, 218, 218)"
h-border-2-17-3-17,"rgb(218, 218, 218)"
h-border-2-18-3-18,"rgb(218, 218, 218)"
h-border-2-19-3-19,"rgb(218, 218, 218)"
h-border-2-20-3-20,"rgb(218, 218, 218)"
h-border-2-21-3-21,"rgb(218, 218, 218)"
h-border-2-22-3-22,"rgb(218, 218, 218)"
h-border-2-23-3-23,"rgb(218, 218, 218)"
h-border-2-24-3-24,"rgb(218, 218, 218)"
h-border-2-25-3-25,"rgb(218, 218, 218)"
h-border-2-26-3-26,"rgb(218, 218, 218)"
h-border-2-27-3-27,"rgb(218, 218, 218)"
h-border-2-28-3-28,"rgb(218, 218, 218)"
h-border-2-29-3-29,"rgb(218, 218, 218)"
h-border-2-30-3-30,"rgb(218, 218, 218)"
h-border-2-31-3-31,"rgb(218, 218, 218)"
v-border-3-0-3-1,"rgb(218, 218, 218)"
v-border-3-1-3-2,"rgb(218, 218, 218)"
v-border-3-2-3-3,"rgb(218, 218, 218)"
v-border-3-3-3-4,"rgb(218, 218, 218)"
v-border-3-4-3-5,"rgb(218, 218, 218)"
v-border-3-5-3-6,"rgb(218, 218, 218)"
v-border-3-6-3-7,"rgb(218, 218, 218)"
v-border-3-7-3-8,"rgb(218, 218, 218)"
v-border-3-8-3-9,"rgb(218, 218, 218)"
v-border-3-9-3-10,"rgb(218, 218, 218)"
v-border-3-10-3-11,"rgb(218, 218, 218)"
v-border-3-11-3-12,"rgb(218, 218, 218)"
v-border-3-12-3-13,"rgb(218, 218, 218)"
v-border-3-13-3-14,"rgb(218, 218, 218)"
v-border-3-14-3-15,"rgb(218, 218, 218)"
v-border-3-15-3-16,black
v-border-3-16-3-17,"rgb(218, 218, 218)"
v-border-3-17-3-18,"rgb(218, 218, 218)"
v-border-3-18-3-19,"rgb(218, 218, 218)"
v-border-3-19-3-20,"rgb(218, 218, 218)"
v-border-3-20-3-21,"rgb(218, 218, 218)"
v-border-3-21-3-22,"rgb(218, 218, 218)"
v-border-3-22-3-23,"rgb(218, 218, 218)"
v-border-3-23-3-24,"rgb(218, 218, 218)"
v-border-3-24-3-25,"rgb(218, 218, 218)"
v-border-3-25-3-26,"rgb(218, 218, 218)"
v-border-3-26-3-27,"rgb(218, 218, 218)"
v-border-3-27-3-28,"rgb(218, 218, 218)"
v-border-3-28-3-29,"rgb(218, 218, 218)"
v-border-3-29-3-30,"rgb(218, 218, 218)"
v-border-3-30-3-31,"rgb(218, 218, 218)"
h-border-3-0-4-0,"rgb(218, 218, 218)"
h-border-3-1-4-1,"rgb(218, 218, 218)"
h-border-3-2-4-2,"rgb(218, 218, 218)"
h-border-3-3-4-3,"rgb(218, 218, 218)"
h-border-3-4-4-4,"rgb(218, 218, 218)"
h-border-3-5-4-5,"rgb(218, 218, 218)"
h-border-3-6-4-6,"rgb(218, 218, 218)"
h-border-3-7-4-7,"rgb(218, 218, 218)"
h-border-3-8-4-8,"rgb(218, 218, 218)"
h-border-3-9-4-9,"rgb(218, 218, 218)"
h-border-3-10-4-10,"rgb(218, 218, 218)"
h-border-3-11-4-11,"rgb(218, 218, 218)"
h-border-3-12-4-12,"rgb(218, 218, 218)"
h-border-3-13-4-13,"rgb(218, 218, 218)"
h-border-3-14-4-14,"rgb(218, 218, 218)"
h-border-3-15-4-15,"rgb(218, 218, 218)"
h-border-3-16-4-16,"rgb(218, 218, 218)"
h-border-3-17-4-17,"rgb(218, 218, 218)"
h-border-3-18-4-18,"rgb(218, 218, 218)"
h-border-3-19-4-19,"rgb(218, 218, 218)"
h-border-3-20-4-20,"rgb(218, 218, 218)"
h-border-3-21-4-21,"rgb(218, 218, 218)"
h-border-3-22-4-22,"rgb(218, 218, 218)"
h-border-3-23-4-23,"rgb(218, 218, 218)"
h-border-3-24-4-24,"rgb(218, 218, 218)"
h-border-3-25-4-25,"rgb(218, 218, 218)"
h-border-3-26-4-26,"rgb(218, 218, 218)"
h-border-3-27-4-27,"rgb(218, 218, 218)"
h-border-3-28-4-28,"rgb(218, 218, 218)"
h-border-3-29-4-29,"rgb(218, 218, 218)"
h-border-3-30-4-30,"rgb(218, 218, 218)"
h-border-3-31-4-31,"rgb(218, 218, 218)"
v-border-4-0-4-1,"rgb(218, 218, 218)"
v-border-4-1-4-2,"rgb(218, 218, 218)"
v-border-4-2-4-3,"rgb(218, 218, 218)"
v-border-4-3-4-4,"rgb(218, 218, 218)"
v-border-4-4-4-5,"rgb(218, 218, 218)"
v-border-4-5-4-6,"rgb(218, 218, 218)"
v-border-4-6-4-7,"rgb(218, 218, 218)"
v-border-4-7-4-8,"rgb(218, 218, 218)"
v-border-4-8-4-9,"rgb(218, 218, 218)"
v-border-4-9-4-10,"rgb(218, 218, 218)"
v-border-4-10-4-11,"rgb(218, 218, 218)"
v-border-4-11-4-12,"rgb(218, 218, 218)"
v-border-4-12-4-13,"rgb(218, 218, 218)"
v-border-4-13-4-14,"rgb(218, 218, 218)"
v-border-4-14-4-15,"rgb(218, 218, 218)"
v-border-4-15-4-16,black
v-border-4-16-4-17,"rgb(218, 218, 218)"
v-border-4-17-4-18,"rgb(218, 218, 218)"
v-border-4-18-4-19,"rgb(218, 218, 218)"
v-border-4-19-4-20,"rgb(218, 218, 218)"
v-border-4-20-4-21,"rgb(218, 218, 218)"
v-border-4-21-4-22,"rgb(218, 218, 218)"
v-border-4-22-4-23,"rgb(218, 218, 218)"
v-border-4-23-4-24,"rgb(218, 218, 218)"
v-border-4-24-4-25,"rgb(218, 218, 218)"
v-border-4-25-4-26,"rgb(218, 218, 218)"
v-border-4-26-4-27,"rgb(218, 218, 218)"
v-border-4-27-4-28,"rgb(218, 218, 218)"
v-border-4-28-4-29,"rgb(218, 218, 218)"
v-border-4-29-4-30,"rgb(218, 218, 218)"
v-border-4-30-4-31,"rgb(218, 218, 218)"
h-border-4-0-5-0,"rgb(218, 218, 218)"
h-border-4-1-5-1,"rgb(218, 218, 218)"
h-border-4-2-5-2,"rgb(218, 218, 218)"
h-border-4-3-5-3,"rgb(218, 218, 218)"
h-border-4-4-5-4,"rgb(218, 218, 218)"
h-border-4-5-5-5,"rgb(218, 218, 218)"
h-border-4-6-5-6,"rgb(218, 218, 218)"
h-border-4-7-5-7,"rgb(218, 218, 218)"
h-border-4-8-5-8,"rgb(218, 218, 218)"
h-border-4-9-5-9,"rgb(218, 218, 218)"
h-border-4-10-5-10,"rgb(218, 218, 218)"
h-border-4-11-5-11,"rgb(218, 218, 218)"
h-border-4-12-5-12,"rgb(218, 218, 218)"
h-border-4-13-5-13,"rgb(218, 218, 218)"
h-border-4-14-5-14,"rgb(218, 218, 218)"
h-border-4-15-5-15,"rgb(218, 218, 218)"
h-border-4-16-5-16,"rgb(218, 218, 218)"
h-border-4-17-5-17,"rgb(218, 218, 218)"
h-border-4-18-5-18,"rgb(218, 218, 218)"
h-border-4-19-5-19,"rgb(218, 218, 218)"
h-border-4-20-5-20,"rgb(218, 218, 218)"
h-border-4-21-5-21,"rgb(218, 218, 218)"
h-border-4-22-5-22,"rgb(218, 218, 218)"
h-border-4-23-5-23,"rgb(218, 218, 218)"
h-border-4-24-5-24,"rgb(218, 218, 218)"
h-border-4-25-5-25,"rgb(218, 218, 218)"
h-border-4-26-5-26,"rgb(218, 218, 218)"
h-border-4-27-5-27,"rgb(218, 218, 218)"
h-border-4-28-5-28,"rgb(218, 218, 218)"
h-border-4-29-5-29,"rgb(218, 218, 218)"
h-border-4-30-5-30,"rgb(218, 218, 218)"
h-border-4-31-5-31,"rgb(218, 218, 218)"
v-border-5-0-5-1,"rgb(218, 218, 218)"
v-border-5-1-5-2,"rgb(218, 218, 218)"
v-border-5-2-5-3,"rgb(218, 218, 218)"
v-border-5-3-5-4,"rgb(218, 218, 218)"
v-border-5-4-5-5,"rgb(218, 218, 218)"
v-border-5-5-5-6,"rgb(218, 218, 218)"
v-border-5-6-5-7,"rgb(218, 218, 218)"
v-border-5-7-5-8,"rgb(218, 218, 218)"
v-border-5-8-5-9,"rgb(218, 218, 218)"
v-border-5-9-5-10,"rgb(218, 218, 218)"
v-border-5-10-5-11,"rgb(218, 218, 218)"
v-border-5-11-5-12,"rgb(218, 218, 218)"
v-border-5-12-5-13,"rgb(218, 218, 218)"
v-border-5-13-5-14,"rgb(218, 218, 218)"
v-border-5-14-5-15,"rgb(218, 218, 218)"
v-border-5-15-5-16,black
v-border-5-16-5-17,"rgb(218, 218, 218)"
v-border-5-17-5-18,"rgb(218, 218, 218)"
v-border-5-18-5-19,"rgb(218, 218, 218)"
v-border-5-19-5-20,"rgb(218, 218, 218)"
v-border-5-20-5-21,"rgb(218, 218, 218)"
v-border-5-21-5-22,"rgb(218, 218, 218)"
v-border-5-22-5-23,"rgb(218, 218, 218)"
v-border-5-23-5-24,"rgb(218, 218, 218)"
v-border-5-24-5-25,"rgb(218, 218, 218)"
v-border-5-25-5-26,"rgb(218, 218, 218)"
v-border-5-26-5-27,"rgb(218, 218, 218)"
v-border-5-27-5-28,"rgb(218, 218, 218)"
v-border-5-28-5-29,"rgb(218, 218, 218)"
v-border-5-29-5-30,"rgb(218, 218, 218)"
v-border-5-30-5-31,"rgb(218, 218, 218)"
h-border-5-0-6-0,"rgb(218, 218, 218)"
h-border-5-1-6-1,"rgb(218, 218, 218)"
h-border-5-2-6-2,"rgb(218, 218, 218)"
h-border-5-3-6-3,"rgb(218, 218, 218)"
h-border-5-4-6-4,"rgb(218, 218, 218)"
h-border-5-5-6-5,"rgb(218, 218, 218)"
h-border-5-6-6-6,"rgb(218, 218, 218)"
h-border-5-7-6-7,"rgb(218, 218, 218)"
h-border-5-8-6-8,"rgb(218, 218, 218)"
h-border-5-9-6-9,"rgb(218, 218, 218)"
h-border-5-10-6-10,"rgb(218, 218, 218)"
h-border-5-11-6-11,"rgb(218, 218, 218)"
h-border-5-12-6-12,"rgb(218, 218, 218)"
h-border-5-13-6-13,"rgb(218, 218, 218)"
h-border-5-14-6-14,"rgb(218, 218, 218)"
h-border-5-15-6-15,"rgb(218, 218, 218)"
h-border-5-16-6-16,"rgb(218, 218, 218)"
h-border-5-17-6-17,"rgb(218, 218, 218)"
h-border-5-18-6-18,"rgb(218, 218, 218)"
h-border-5-19-6-19,"rgb(218, 218, 218)"
h-border-5-20-6-20,"rgb(218, 218, 218)"
h-border-5-21-6-21,"rgb(218, 218, 218)"
h-border-5-22-6-22,"rgb(218, 218, 218)"
h-border-5-23-6-23,"rgb(218, 218, 218)"
h-border-5-24-6-24,"rgb(218, 218, 218)"
h-border-5-25-6-25,"rgb(218, 218, 218)"
h-border-5-26-6-26,"rgb(218, 218, 218)"
h-border-5-27-6-27,"rgb(218, 218, 218)"
h-border-5-28-6-28,"rgb(218, 218, 218)"
h-border-5-29-6-29,"rgb(218, 218, 218)"
h-border-5-30-6-30,"rgb(218, 218, 218)"
h-border-5-31-6-31,"rgb(218, 218, 218)"
v-border-6-0-6-1,"rgb(218, 218, 218)"
v-border-6-1-6-2,"rgb(218, 218, 218)"
v-border-6-2-6-3,"rgb(218, 218, 218)"
v-border-6-3-6-4,"rgb(218, 218, 218)"
v-border-6-4-6-5,"rgb(218, 218, 218)"
v-border-6-5-6-6,"rgb(218, 218, 218)"
v-border-6-6-6-7,"rgb(218, 218, 218)"
v-border-6-7-6-8,"rgb(218, 218, 218)"
v-border-6-8-6-9,"rgb(218, 218, 218)"
v-border-6-9-6-10,"rgb(218, 218, 218)"
v-border-6-10-6-11,"rgb(218, 218, 218)"
v-border-6-11-6-12,"rgb(218, 218, 218)"
v-border-6-12-6-13,"rgb(218, 218, 218)"
v-border-6-13-6-14,"rgb(218, 218, 218)"
v-border-6-14-6-15,"rgb(218, 218, 218)"
v-border-6-15-6-16,black
v-border-6-16-6-17,"rgb(218, 218, 218)"
v-border-6-17-6-18,"rgb(218, 218, 218)"
v-border-6-18-6-19,"rgb(218, 218, 218)"
v-border-6-19-6-20,"rgb(218, 218, 218)"
v-border-6-20-6-21,"rgb(218, 218, 218)"
v-border-6-21-6-22,"rgb(218, 218, 218)"
v-border-6-22-6-23,"rgb(218, 218, 218)"
v-border-6-23-6-24,"rgb(218, 218, 218)"
v-border-6-24-6-25,"rgb(218, 218, 218)"
v-border-6-25-6-26,"rgb(218, 218, 218)"
v-border-6-26-6-27,"rgb(218, 218, 218)"
v-border-6-27-6-28,"rgb(218, 218, 218)"
v-border-6-28-6-29,"rgb(218, 218, 218)"
v-border-6-29-6-30,"rgb(218, 218, 218)"
v-border-6-30-6-31,"rgb(218, 218, 218)"
h-border-6-0-7-0,"rgb(218, 218, 218)"
h-border-6-1-7-1,"rgb(218, 218, 218)"
h-border-6-2-7-2,"rgb(218, 218, 218)"
h-border-6-3-7-3,"rgb(218, 218, 218)"
h-border-6-4-7-4,"rgb(218, 218, 218)"
h-border-6-5-7-5,"rgb(218, 218, 218)"
h-border-6-6-7-6,"rgb(218, 218, 218)"
h-border-6-7-7-7,"rgb(218, 218, 218)"
h-border-6-8-7-8,"rgb(218, 218, 218)"
h-border-6-9-7-9,"rgb(218, 218, 218)"
h-border-6-10-7-10,"rgb(218, 218, 218)"
h-border-6-11-7-11,"rgb(218, 218, 218)"
h-border-6-12-7-12,"rgb(218, 218, 218)"
h-border-6-13-7-13,"rgb(218, 218, 218)"
h-border-6-14-7-14,"rgb(218, 218, 218)"
h-border-6-15-7-15,"rgb(218, 218, 218)"
h-border-6-16-7-16,"rgb(218, 218, 218)"
h-border-6-17-7-17,"rgb(218, 218, 218)"
h-border-6-18-7-18,"rgb(218, 218, 218)"
h-border-6-19-7-19,"rgb(218, 218, 218)"
h-border-6-20-7-20,"rgb(218, 218, 218)"
h-border-6-21-7-21,"rgb(218, 218, 218)"
h-border-6-22-7-22,"rgb(218, 218, 218)"
h-border-6-23-7-23,"rgb(218, 218, 218)"
h-border-6-24-7-24,"rgb(218, 218, 218)"
h-border-6-25-7-25,"rgb(218, 218, 218)"
h-border-6-26-7-26,"rgb(218, 218, 218)"
h-border-6-27-7-27,"rgb(218, 218, 218)"
h-border-6-28-7-28,"rgb(218, 218, 218)"
h-border-6-29-7-29,"rgb(218, 218, 218)"
h-border-6-30-7-30,"rgb(218, 218, 218)"
h-border-6-31-7-31,"rgb(218, 218, 218)"
v-border-7-0-7-1,"rgb(218, 218, 218)"
v-border-7-1-7-2,"rgb(218, 218, 218)"
v-border-7-2-7-3,"rgb(218, 218, 218)"
v-border-7-3-7-4,"rgb(218, 218, 218)"
v-border-7-4-7-5,"rgb(218, 218, 218)"
v-border-7-5-7-6,"rgb(218, 218, 218)"
v-border-7-6-7-7,"rgb(218, 218, 218)"
v-border-7-7-7-8,"rgb(218, 218, 218)"
v-border-7-8-7-9,"rgb(218, 218, 218)"
v-border-7-9-7-10,"rgb(218, 218, 218)"
v-border-7-10-7-11,"rgb(218, 218, 218)"
v-border-7-11-7-12,"rgb(218, 218, 218)"
v-border-7-12-7-13,"rgb(218, 218, 218)"
v-border-7-13-7-14,"rgb(218, 218, 218)"
v-border-7-14-7-15,"rgb(218, 218, 218)"
v-border-7-15-7-16,black
v-border-7-16-7-17,"rgb(218, 218, 218)"
v-border-7-17-7-18,"rgb(218, 218, 218)"
v-border-7-18-7-19,"rgb(218, 218, 218)"
v-border-7-19-7-20,"rgb(218, 218, 218)"
v-border-7-20-7-21,"rgb(218, 218, 218)"
v-border-7-21-7-22,"rgb(218, 218, 218)"
v-border-7-22-7-23,"rgb(218, 218, 218)"
v-border-7-23-7-24,"rgb(218, 218, 218)"
v-border-7-24-7-25,"rgb(218, 218, 218)"
v-border-7-25-7-26,"rgb(218, 218, 218)"
v-border-7-26-7-27,"rgb(218, 218, 218)"
v-border-7-27-7-28,"rgb(218, 218, 218)"
v-border-7-28-7-29,"rgb(218, 218, 218)"
v-border-7-29-7-30,"rgb(218, 218, 218)"
v-border-7-30-7-31,"rgb(218, 218, 218)"
h-border-7-0-8-0,"rgb(218, 218, 218)"
h-border-7-1-8-1,"rgb(218, 218, 218)"
h-border-7-2-8-2,"rgb(218, 218, 218)"
h-border-7-3-8-3,"rgb(218, 218, 218)"
h-border-7-4-8-4,"rgb(218, 218, 218)"
h-border-7-5-8-5,"rgb(218, 218, 218)"
h-border-7-6-8-6,"rgb(218, 218, 218)"
h-border-7-7-8-7,"rgb(218, 218, 218)"
h-border-7-8-8-8,"rgb(218, 218, 218)"
h-border-7-9-8-9,"rgb(218, 218, 218)"
h-border-7-10-8-10,"rgb(218, 218, 218)"
h-border-7-11-8-11,"rgb(218, 218, 218)"
h-border-7-12-8-12,"rgb(218, 218, 218)"
h-border-7-13-8-13,"rgb(218, 218, 218)"
h-border-7-14-8-14,"rgb(218, 218, 218)"
h-border-7-15-8-15,"rgb(218, 218, 218)"
h-border-7-16-8-16,"rgb(218, 218, 218)"
h-border-7-17-8-17,"rgb(218, 218, 218)"
h-border-7-18-8-18,"rgb(218, 218, 218)"
h-border-7-19-8-19,"rgb(218, 218, 218)"
h-border-7-20-8-20,"rgb(218, 218, 218)"
h-border-7-21-8-21,"rgb(218, 218, 218)"
h-border-7-22-8-22,"rgb(218, 218, 218)"
h-border-7-23-8-23,"rgb(218, 218, 218)"
h-border-7-24-8-24,"rgb(218, 218, 218)"
h-border-7-25-8-25,"rgb(218, 218, 218)"
h-border-7-26-8-26,"rgb(218, 218, 218)"
h-border-7-27-8-27,"rgb(218, 218, 218)"
h-border-7-28-8-28,"rgb(218, 218, 218)"
h-border-7-29-8-29,"rgb(218, 218, 218)"
h-border-7-30-8-30,"rgb(218, 218, 218)"
h-border-7-31-8-31,"rgb(218, 218, 218)"
v-border-8-0-8-1,"rgb(218, 218, 218)"
v-border-8-1-8-2,"rgb(218, 218, 218)"
v-border-8-2-8-3,"rgb(218, 218, 218)"
v-border-8-3-8-4,"rgb(218, 218, 218)"
v-border-8-4-8-5,"rgb(218, 218, 218)"
v-border-8-5-8-6,"rgb(218, 218, 218)"
v-border-8-6-8-7,"rgb(218, 218, 218)"
v-border-8-7-8-8,"rgb(218, 218, 218)"
v-border-8-8-8-9,"rgb(218, 218, 218)"
v-border-8-9-8-10,"rgb(218, 218, 218)"
v-border-8-10-8-11,"rgb(218, 218, 218)"
v-border-8-11-8-12,"rgb(218, 218, 218)"
v-border-8-12-8-13,"rgb(218, 218, 218)"
v-border-8-13-8-14,"rgb(218, 218, 218)"
v-border-8-14-8-15,"rgb(218, 218, 218)"
v-border-8-15-8-16,black
v-border-8-16-8-17,"rgb(218, 218, 218)"
v-border-8-17-8-18,"rgb(218, 218, 218)"
